CITY,CITY_code
ARTESIA,0
Aberdeen,1
Abilene,2
Abingdon,3
Abington,4
Ada,5
Addison,6
Adelphi,7
Adelphia,8
Adrian,9
Afton,10
Aguada,11
Aguadilla,12
Ahoskie,13
Aiken,14
Airway Heights,15
Akron,16
Alameda,17
Alamogordo,18
Alamosa,19
Albany,20
Albemarle,21
Alberta,22
Albertville,23
Albion,24
Albuquerque,25
Alcorn State,26
Alexander City,27
Alexandria,28
Alfred,29
Alhambra,30
Aliso Viejo,31
Allen Park,32
Allendale,33
Allentown,34
Alliance,35
Alma,36
Alpena,37
Alpine,38
Altamonte Springs,39
Alton,40
Altoona,41
Altus,42
Alva,43
Alvin,44
Amarillo,45
Ambler,46
Ambridge,47
American Fork,48
Americus,49
Ames,50
Amherst,51
Amityville,52
Anaheim,53
Anamosa,54
Anchorage,55
Andalusia,56
Anderson,57
Andover,58
Angola,59
Angwin,60
Ankeny,61
Ann Arbor,62
Annandale,63
Annandale-On-Hudson,64
Annapolis,65
Annville,66
Anoka,67
Antioch,68
Appleton,69
Aptos,70
Arcata,71
Archbold,72
Ardmore,73
Arecibo,74
Arkadelphia,75
Arkansas City,76
Arlington,77
Arnold,78
Arroyo,79
Arundel,80
Arvada,81
Ashburn,82
Asheboro,83
Asheville,84
Ashland,85
Ashtabula,86
Ashwaubenon,87
Aston,88
Astoria,89
Atascadero,90
Atchison,91
Athens,92
Atherton,93
Atlanta,94
Auburn,95
Auburn Hills,96
Augusta,97
Aurora,98
Austin,99
Austintown,100
Ave Maria,101
Avon Park,102
Avondale,103
Azusa,104
BAYAMON,105
Babson Park,106
Bakersfield,107
Baldwin City,108
Baldwin Park,109
Ballston Spa,110
Baltimore,111
Bangor,112
Banner Elk,113
Bar Harbor,114
Baraboo,115
Baraga,116
Barbourville,117
Barnesville,118
Barranquitas,119
Barrow,120
Barstow,121
Bartlesville,122
Bartlett,123
Batavia,124
Batesville,125
Baton Rouge,126
Battle Creek,127
Bay City,128
Bay Minette,129
Bayamn,130
Bayamon,131
Bayside,132
Baytown,133
Beacon,134
Bear,135
Beaufort,136
Beaumont,137
Beaver,138
Beaver Falls,139
Beavercreek,140
Beaverton,141
